FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr
Science communication,16810,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,8300,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,14490,Open Access Books,Open Access Bücher,Open Access Livres
Careers,23250,Fellowships,Stipendien,Bourses 
Careers,20750,Fellowships,Stipendien,Bourses 
Science communication,9990,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,11145,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,11036,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,19435,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,447305,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,481335,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,198048,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,234964,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,4789,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,9600,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,15527,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,820992,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,8969,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,199744,Agora,Agora,Agora
Project funding,613023,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,128220,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,129780,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Project funding,557581,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,717776,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,235398,Doc.CH,Doc.CH,Doc.CH
Project funding,697900,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,248059,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Project funding,263464,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,25000,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,7500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,10200,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,9300,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,20193,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,794461,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,493977,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,679970,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,420164,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,7540,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,13010,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,21751,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,786485,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,24500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,6000,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,506335,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,773088,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1468156,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,708318,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,10000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,205669,Agora,Agora,Agora
Project funding,783044,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,6400,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Programmes,219160,ERA-NET,ERA-NET,ERA-NET
Science communication,13400,Open Access Books,Open Access Bücher,Open Access Livres
Careers,123280,Fellowships,Stipendien,Bourses 
Careers,108600,Fellowships,Stipendien,Bourses 
Careers,118000,Fellowships,Stipendien,Bourses 
Careers,111350,Fellowships,Stipendien,Bourses 
Careers,114000,Fellowships,Stipendien,Bourses 
Careers,126000,Fellowships,Stipendien,Bourses 
Careers,124000,Fellowships,Stipendien,Bourses 
Careers,56000,Fellowships,Stipendien,Bourses 
Careers,81331,Fellowships,Stipendien,Bourses 
Careers,119000,Fellowships,Stipendien,Bourses 
Careers,145650,Fellowships,Stipendien,Bourses 
Careers,91500,Fellowships,Stipendien,Bourses 
Careers,113000,Fellowships,Stipendien,Bourses 
Careers,122600,Fellowships,Stipendien,Bourses 
Careers,151500,Fellowships,Stipendien,Bourses 
Careers,96600,Fellowships,Stipendien,Bourses 
Careers,83100,Fellowships,Stipendien,Bourses 
Careers,108000,Fellowships,Stipendien,Bourses 
Careers,112433,Fellowships,Stipendien,Bourses 
Careers,118000,Fellowships,Stipendien,Bourses 
Careers,117300,Fellowships,Stipendien,Bourses 
Careers,155500,Fellowships,Stipendien,Bourses 
Careers,106600,Fellowships,Stipendien,Bourses 
Careers,104900,Fellowships,Stipendien,Bourses 
Careers,123300,Fellowships,Stipendien,Bourses 
Careers,116000,Fellowships,Stipendien,Bourses 
Careers,151500,Fellowships,Stipendien,Bourses 
Careers,100600,Fellowships,Stipendien,Bourses 
Careers,126000,Fellowships,Stipendien,Bourses 
Careers,74400,Fellowships,Stipendien,Bourses 
Careers,59000,Fellowships,Stipendien,Bourses 
Careers,100300,Fellowships,Stipendien,Bourses 
Careers,114200,Fellowships,Stipendien,Bourses 
Careers,85000,Fellowships,Stipendien,Bourses 
Careers,118600,Fellowships,Stipendien,Bourses 
Careers,78133,Fellowships,Stipendien,Bourses 
Careers,120280,Fellowships,Stipendien,Bourses 
Careers,111500,Fellowships,Stipendien,Bourses 
Science communication,3081,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1644,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2892,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1140,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2050,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1940,Open Access Article,Open Access Artikel,Open Access Article
Science communication,495,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2923,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3277,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5323,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1831,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2902,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1551,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1292,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4161,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1842,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3251,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1233,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5404,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1554,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1135,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5443,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2324,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1530,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3115,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2308,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1638,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1659,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2200,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3129,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2624,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1340,Open Access Article,Open Access Artikel,Open Access Article
Science communication,731,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2901,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2403,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2382,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1899,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4113,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2093,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3759,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2867,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1116,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1830,Open Access Article,Open Access Artikel,Open Access Article
Careers,112000,Fellowships,Stipendien,Bourses 
Careers,108000,Fellowships,Stipendien,Bourses 
Careers,124000,Fellowships,Stipendien,Bourses 
Careers,98600,Fellowships,Stipendien,Bourses 
Careers,78000,Fellowships,Stipendien,Bourses 
Careers,114500,Fellowships,Stipendien,Bourses 
Careers,100100,Fellowships,Stipendien,Bourses 
Careers,120600,Fellowships,Stipendien,Bourses 
Careers,121200,Fellowships,Stipendien,Bourses 
Careers,100600,Fellowships,Stipendien,Bourses 
Careers,103880,Fellowships,Stipendien,Bourses 
Careers,104600,Fellowships,Stipendien,Bourses 
Careers,102000,Fellowships,Stipendien,Bourses 
Careers,79500,Fellowships,Stipendien,Bourses 
Careers,110800,Fellowships,Stipendien,Bourses 
Careers,70500,Fellowships,Stipendien,Bourses 
Careers,101000,Fellowships,Stipendien,Bourses 
Careers,118000,Fellowships,Stipendien,Bourses 
Careers,114600,Fellowships,Stipendien,Bourses 
Careers,116000,Fellowships,Stipendien,Bourses 
Careers,75000,Fellowships,Stipendien,Bourses 
Careers,75000,Fellowships,Stipendien,Bourses 
Careers,118200,Fellowships,Stipendien,Bourses 
Science communication,2067,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5406,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1033,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1974,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4182,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5327,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1862,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2425,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2295,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3281,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2901,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3204,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2487,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1702,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2971,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2312,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2016,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2766,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1848,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2335,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1054,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2355,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1320,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2700,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1601,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2946,Open Access Article,Open Access Artikel,Open Access Article
Science communication,12608,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,10150,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,20028,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,18941,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,20570,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,9900,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,11378,Open Access Books,Open Access Bücher,Open Access Livres
Careers,1591327,Eccellenza,Eccellenza,Eccellenza
Careers,95340,Fellowships,Stipendien,Bourses 
Careers,97326,Fellowships,Stipendien,Bourses 
Project funding,720000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,767106,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1000000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,671100,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,609000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,380100,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,949385,Ambizione,Ambizione,Ambizione
Careers,773238,Ambizione,Ambizione,Ambizione
Careers,916747,Ambizione,Ambizione,Ambizione
Project funding,429134,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,812000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,505641,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,295281,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,533782,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,770374,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,876699,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,906000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,664243,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,491767,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,740747,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,278376,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,908000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,635677,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,612100,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,676330,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,681000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,903729,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,1824465,Eccellenza,Eccellenza,Eccellenza
Project funding,142412,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,965710,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,139650,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,973569,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,733578,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,1819385,Eccellenza,Eccellenza,Eccellenza
Project funding,250955,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,20400,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,12100,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,11149,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,464316,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,11280,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,422259,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,223050,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,290150,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,18120,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,315765,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,49850,Agora,Agora,Agora
Project funding,966014,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,282358,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,476112,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,101635,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1046387,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,847628,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Infrastructure,267952,FLARE,FLARE,FLARE
Science communication,198993,Agora,Agora,Agora
Science communication,199999,Agora,Agora,Agora
Careers,1955851,Eccellenza,Eccellenza,Eccellenza
Careers,1963737,Eccellenza,Eccellenza,Eccellenza
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Careers,937192,Ambizione,Ambizione,Ambizione
Careers,820556,Ambizione,Ambizione,Ambizione
Careers,561832,Ambizione,Ambizione,Ambizione
Project funding,720000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,870167,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1020085,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,720000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,201032,Doc.CH,Doc.CH,Doc.CH
Programmes,1500000,Bridge - Discovery,Bridge - Discovery,Bridge - Discovery
Programmes,1220100,Bridge - Discovery,Bridge - Discovery,Bridge - Discovery
Programmes,844000,Bridge - Discovery,Bridge - Discovery,Bridge - Discovery
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,349464,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Programmes,337464,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Programmes,350000,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Programmes,346964,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Programmes,499997,SPIRIT,SPIRIT,SPIRIT
Programmes,312039,ERA-NET,ERA-NET,ERA-NET
Project funding,370206,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,379632,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,710211,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,789452,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,932892,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,671128,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,630394,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1338668,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,1958630,Eccellenza,Eccellenza,Eccellenza
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,129999,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,129566,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,246918,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Project funding,1099729,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,124628,Fellowships,Stipendien,Bourses 
Careers,113216,Fellowships,Stipendien,Bourses 
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,130000,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,249591,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Science communication,25000,Open Access Books,Open Access Bücher,Open Access Livres
Infrastructure,87305,R'EQUIP,R'EQUIP,R'EQUIP
Infrastructure,544520,R'EQUIP,R'EQUIP,R'EQUIP
Project funding,416148,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,654764,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,261630,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,908000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,492368,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1360000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,756667,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,58000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Infrastructure,236379,FLARE,FLARE,FLARE
Project funding,176638,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,538911,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,541188,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,2250,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1189,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1189,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1438,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2954,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3847,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3138,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1620,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2922,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4146,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1801,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2931,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1711,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2029,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2053,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2973,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1896,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5411,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2290,Open Access Article,Open Access Artikel,Open Access Article
Careers,131500,Fellowships,Stipendien,Bourses 
Careers,116300,Fellowships,Stipendien,Bourses 
Careers,99800,Fellowships,Stipendien,Bourses 
Careers,128000,Fellowships,Stipendien,Bourses 
Careers,122000,Fellowships,Stipendien,Bourses 
Careers,122600,Fellowships,Stipendien,Bourses 
Careers,91500,Fellowships,Stipendien,Bourses 
Careers,102600,Fellowships,Stipendien,Bourses 
Careers,110780,Fellowships,Stipendien,Bourses 
Science communication,1724,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1520,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1044,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4003,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2860,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5297,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1821,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2896,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3508,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1548,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5308,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1066,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4032,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4571,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3154,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1916,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2416,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2960,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1835,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3478,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2487,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1713,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2175,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2820,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1378,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1120,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2682,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5490,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2440,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1830,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2014,Open Access Article,Open Access Artikel,Open Access Article
Careers,118453,Fellowships,Stipendien,Bourses 
Careers,807340,Ambizione,Ambizione,Ambizione
Science communication,12800,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,19500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,187767,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,435992,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,1596381,Eccellenza,Eccellenza,Eccellenza
Science communication,25500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,744500,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,557075,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,243050,Doc.CH (until 2020),Doc.CH (bis 2020),Doc.CH (jusqu'en 2020)
Programmes,411520,Bridge - Discovery,Bridge - Discovery,Bridge - Discovery
Project funding,195405,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,893000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,878000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,581116,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,781645,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
